"X","title","abstract"
28,"fair division cardinality constraints"," consider problem fairly allocating indivisible goods among agents cardinality constraints additive valuations setting given partition entire set goodsie goods categorizedand limit specified number goods can allocated category agent objective find fair allocation subset goods assigned agent satisfies given cardinality constraints problem naturally captures number resourceallocation applications generalization wellstudied unconstrained fair division problem two central notions fairness context fair division indivisible goods envy freeness one good ef approximate maximin share guarantee mms show existence algorithmic guarantees established solution concepts unconstrained setting can essentially achieved cardinality constraints specifically develop efficient algorithms compute ef approximately mms allocations constrained setting furthermore focusing case wherein agents additive valuation establish ef allocations exist can computed efficiently even matroid constraints "
29,"claudette automated detector potentially unfair clauses online terms service"," terms service online platforms often contain clauses potentially unfair consumer present experimental study machine learning employed automatically detect potentially unfair clauses results show proposed system provide valuable tool lawyers consumers alike "
30,"causal reasoning algorithmic fairness"," work argue importance causal reasoning creating fair algorithms decision making give review existing approaches fairness describe work causality necessary understanding causal approaches argue causality necessary approach wishes fair give detailed analysis many recent approaches causalitybased fairness "
31,"pooling causal models counterfactual fairness via causal judgement aggregation"," paper consider problem combining multiple probabilistic causal models provided different experts requirement aggregated model satisfy criterion counterfactual fairness build upon work causal models fairness machine learning express problem combining multiple models within framework opinion pooling propose two simple algorithms grounded theory counterfactual fairness causal judgment aggregation guaranteed generate aggregated probabilistic causal models respecting criterion fairness compare behaviors toy case study "
32,"causal interventions fairness"," approaches algorithmic fairness constrain machine learning methods resulting predictions satisfy one several intuitive notions fairness may help private companies comply nondiscrimination laws avoid negative publicity believe often little late time training data collected individuals disadvantaged groups already suffered discrimination lost opportunities due factors control present work focus instead interventions new public policy particular maximize positive effects improving fairness overall system use causal methods model effects interventions allowing potential interferenceeach individuals outcome may depend else receives intervention demonstrate example allocating budget teaching resources using dataset schools new york city "
33,"lecture notes fair division"," fair division problem dividing one several goods amongst two agents way satisfies suitable fairness criterion notes provide succinct introduction field cover three main topics first need define understood fair allocation goods individuals present overview important fairness criteria well closely related criteria economic efficiency developed literature together short discussion axiomatic foundations second give introduction cakecutting procedures example methods fairly dividing single divisible resource amongst group individuals third discuss combinatorial optimisation problem fairly allocating set indivisible goods group agents covering centralised algorithms similar auctions distributed approach based negotiation classical literature fair division largely developed within economics notes specifically written readers background computer science similar may may wish engaged research artificial intelligence multiagent systems computational social choice references reading well small number exercises included notes prepared tutorial th european agent systems summer school easss torino italy august september updated tutorial costadt doctoral school computational social choice estoril portugal april "
34,"fairness behind veil ignorance welfare analysis automated decision making"," draw attention important yet largely overlooked aspect evaluating fairness automated decision making systemsnamely risk welfare considerations proposed family measures corresponds longestablished formulations cardinal social welfare economics justified rawlsian conception fairness behind veil ignorance convex formulation welfarebased measures fairness allows us integrate constraint convex loss minimization pipeline empirical analysis reveals interesting tradeoffs proposal prediction accuracy b group discrimination c dwork et als notion individual fairness furthermore perhaps importantly work provides heuristic justification empirical evidence suggesting lowerbound measures often leads bounded inequality algorithmic outcomes hence presenting first computationally feasible mechanism bounding individuallevel inequality "
35,"comparing fairness criteria based social outcome"," fairness algorithmic decisionmaking processes attracting increasing concern algorithm applied humanrelated decisionmaking estimator solely optimizing predictive power can learn biases existing data motivates us notion fairness machine learning several different notions studied literature little studies done notions affect individuals demonstrate comparison several policies induced wellknown fairness criteria including colorblind cb demographic parity dp equalized odds eo show eo criterion among removes grouplevel disparity empirical studies social welfare disparity policies conducted "
36," applied fairness"," machine learning practitioners often ambivalent ethical aspects products believe anything gets us current state one systems achieving degree fairness improvement welcomed true even progress get us way goal complete fairness perfectly align personal belief measure fairness used measure fairness built still put us better position status quo impediments getting fairness ethical concerns applied real applications whether abstruse philosophical debates technical overhead introduction ever hyperparameters avoided paper elaborate argument viewpoint importance "
37,"classification fairness constraints metaalgorithm provable guarantees"," developing classification algorithms fair respect sensitive attributes data become important problem due growing deployment classification algorithms various social contexts several recent works focused fairness respect specific metric modeled corresponding fair classification problem constrained optimization problem developed tailored algorithms solve despite still remain important metrics fair classifiers many aforementioned algorithms come theoretical guarantees perhaps resulting optimization problem nonconvex main contribution paper new metaalgorithm classification takes input large class fairness constraints respect multiple nondisjoint sensitive attributes comes provable guarantees achieved first developing metaalgorithm large family classification problems convex constraints showing classification problems general types fairness constraints can reduced family present empirical results show algorithm can achieve nearperfect fairness respect various fairness metrics loss accuracy due imposed fairness constraints often small overall work unifies several prior works fair classification presents practical algorithm theoretical guarantees can handle fairness metrics previously possible "
38,"automated directed fairness testing"," fairness critical trait decision making machinelearning models increasingly used sensitive application domains eg education employment decision making crucial decisions computed models free unintended bias can automatically validate fairness arbitrary machinelearning models given machinelearning model set sensitive input parameters aequitas approach automatically discovers discriminatory inputs highlight fairness violation core aequitas three novel strategies employ probabilistic search input space objective uncovering fairness violation aequitas approach leverages inherent robustness property common machinelearning models design implement scalable test generation methodologies appealing feature generated test inputs can systematically added training set underlying model improve fairness end design fully automated module guarantees improve fairness underlying model implemented aequitas evaluated six stateoftheart classifiers including classifier designed fairness constraints show aequitas effectively generates inputs uncover fairness violation subject classifiers systematically improves fairness respective models using generated test inputs evaluation aequitas generates discriminatory inputs wrt total number inputs generated leverages inputs improve fairness "
39,"fairly allocating many goods queries"," investigate query complexity fair allocation indivisible goods two agents arbitrary monotonic valuations design algorithm computes allocation satisfying envyfreeness one good ef relaxation envyfreeness using logarithmic number queries show logarithmic query complexity bound also holds three agents additive valuations results suggest possible fairly allocate goods practice even number goods extremely large contrast prove computing allocation satisfying envyfreeness another relaxations envyfreeness good efx requires linear number queries even two agents identical additive valuations "
40,"efficiency sequenceability dealoptimality fair division indivisible goods"," fair division indivisible goods using sequences sincere choices picking sequences natural way allocate objects idea follows stage designated agent picks one object among remain another intuitive way obtain allocation give objects agents first place let agents exchange long deals beneficial paper investigates notions agents additive preferences objects unveils surprising connections efficiency fairness notions particular show allocation sequenceable iff optimal certain type deals namely cycle deals involving single object furthermore paretooptimal allocation sequenceable converse regarding fairness show allocation can envyfree nonsequenceable every competitive equilibrium equal incomes sequenceable complete picture show domain restrictions may affect relations notions finally experimentally explore links scales efficiency fairness "
41,"optimization nondifferentiable constraints applications fairness recall churn goals"," show many machine learning goals improved fairness metrics can expressed constraints models predictions call rate constraints study problem training nonconvex models subject rate constraints nonconvex nondifferentiable constraints nonconvex setting standard approach lagrange multipliers may fail furthermore constraints nondifferentiable one optimize lagrangian gradientbased methods solve issues introduce proxylagrangian formulation new formulation leads algorithm produces stochastic classifier playing twoplayer nonzerosum game solving call semicoarse correlated equilibrium turn corresponds approximately optimal feasible solution constrained optimization problem give procedure shrinks randomized solution one mixture m deterministic solutions given m constraints culminates algorithms can solve nonconvex constrained optimization problems possibly nondifferentiable nonconvex constraints theoretical guarantees provide extensive experimental results enforcing wide range policy goals including different fairness metrics goals accuracy coverage recall churn "
42,"fair lending needs explainable models responsible recommendation"," financial services industry unique explainability fairness challenges arising compliance ethical considerations credit decisioning challenges complicate use model machine learning artificial intelligence methods business decision processes "
43,"fairnessaware classification criterion convexity bounds"," fairnessaware classification receiving increasing attention machine learning fields recently research proposes formulate fairnessaware classification constrained optimization problems however several limitations exist previous works due lack theoretical framework guiding formulation paper propose general framework learning fair classifiers addresses previous limitations framework formulates various commonlyused fairness metrics convex constraints can directly incorporated classic classification models within framework propose constraintfree criterion training data ensures classifier learned data fair also derive constraints ensure real fairness metric satisfied surrogate functions used achieve convexity framework can used formulating fairnessaware classification fairness guarantee computational efficiency experiments using realworld datasets demonstrate theoretical results show effectiveness proposed framework methods "
44,"active fairness algorithmic decision making"," society increasingly relies machine learning models automated decision making yet efficiency gains automation come paired concern algorithmic discrimination can systematize inequality recent work proposed optimal postprocessing methods randomize classification decisions fraction individuals order achieve fairness measures related parity errors calibration methods however raised concern due information inefficiency intragroup unfairness pareto suboptimality entail present work proposes alternative active framework fair classification deployment decisionmaker adaptively acquires information according needs different groups individuals towards balancing disparities classification performance propose two methods information collection adapted group individuallevel needs respectively show realworld datasets can achieve calibration single error parity eg equal opportunity parity false positive false negative rates ie equal odds moreover show leveraging additional degree freedom active approaches can substantially outperform randomizationbased classifiers previously considered optimal avoiding limitations intragroup unfairness "
45,"counterfactually fair prediction using multiple causal models"," paper study problem making predictions using multiple structural casual models defined different agents constraint prediction satisfies criterion counterfactual fairness relying frameworks causality fairness opinion pooling build upon extend previous work focusing qualitative aggregation causal bayesian networks causal models order complement previous qualitative results devise method based monte carlo simulations method enables decisionmaker aggregate outputs causal models provided different experts guaranteeing counterfactual fairness result demonstrate approach simple yet illustrative toy case study "
46,"can everyday ai ethical fairness machine learning algorithms"," combining big data machine learning algorithms power automatic decision tools induces much hope fear many recently enacted european legislation gdpr french laws attempt regulate use tools leaving aside wellidentified problems data confidentiality impediments competition focus risks discrimination problems transparency quality algorithmic decisions detailed perspective legal texts faced complexity opacity learning algorithms reveals need important technological disruptions detection reduction discrimination risk addressing right obtain explanation auto matic decision since trust developers users citizens litigants customers essential algorithms exploiting personal data must deployed strict ethical framework conclusion answer need list ways controls developed institutional control ethical charter external audit attached issue label "
47,"ai fairness extensible toolkit detecting understanding mitigating unwanted algorithmic bias"," fairness increasingly important concern machine learning models used support decision making highstakes applications mortgage lending hiring prison sentencing paper introduces new open source python toolkit algorithmic fairness ai fairness aif released apache v license httpsgithubcomibmaif main objectives toolkit help facilitate transition fairness research algorithms use industrial setting provide common framework fairness researchers share evaluate algorithms package includes comprehensive set fairness metrics datasets models explanations metrics algorithms mitigate bias datasets models also includes interactive web experience httpsaifmybluemixnet provides gentle introduction concepts capabilities lineofbusiness users well extensive documentation usage guidance industryspecific tutorials enable data scientists practitioners incorporate appropriate tool problem work products architecture package engineered conform standard paradigm used data science thereby improving usability practitioners architectural design abstractions enable researchers developers extend toolkit new algorithms improvements use performance benchmarking builtin testing infrastructure maintains code quality "
48," general framework fair regression"," fairness many forms definitions become important issue facing machine learning community work consider incorporate group fairness constraints kernel regression methods applicable gaussian processes support vector machines neural network regression decision tree regression focus examining effect incorporating constraints decision tree regression direct applications random forests boosted trees amongst widespread popular inference techniques show order complexity memory computation preserved models tightly bound expected perturbations model terms number leaves trees importantly approach works trained models hence can easily applied models current use group labels required training data "
49,"fairness critically reframing fairness nash welfare product"," recent studies disparate impact machine learning applications sparked debate around concept fairness along attempts formalize different criteria many approaches focus reducing prediction errors maximizing sole utility institution work seeks reconceptualize critically frame existing discourse fairness underlining implicit biases embedded common understandings fairness literature contrast corresponding economic legal definitions paper expands concept utility fairness bringing concepts established literature welfare economics game theory translate concepts algorithmic prediction domain defining formalization nash welfare product seeks expand utility collapsing institution using prediction tool individual subject prediction one function apply modulating function makes fairness welfare tradeoffs explicit based designated policy goals apply temporal model take account effects decisions beyond scope oneshot predictions apply binary classification problem present results multiepoch simulation based uci adult income dataset test case analysis propublica recidivism dataset show expanding concept utility results fairer distribution correcting embedded biases dataset without sacrificing classifier accuracy "
50,"crowdsourcing fairness diversity budget constraints"," recent studies shown labels collected crowdworkers can discriminatory respect sensitive attributes gender race raises questions suitability using crowdsourced data use training machine learning algorithms work address problem fair diverse data collection crowd budget constraints propose novel algorithm maximizes expected accuracy collected data ensuring errors satisfy desired notions fairness provide guarantees performance algorithm show algorithm performs well practice experiments real dataset "
51,"fairmod making predictive models discrimination aware"," predictive models decision trees neural networks may produce discrimination predictions paper proposes method postprocess predictions predictive model make processed predictions nondiscriminatory method considers multiple protected variables together multiple protected variables make problem challenging simple protected variable method uses wellcited discrimination metric adapts allow specification explanatory variables position profession education describe contexts applications models postprocessing predictions problem nonlinear optimization problem find best adjustments predictions discrimination constraints protected variables met time proposed method independent classification methods can handle cases existing methods handle satisfying multiple protected attributes time allowing multiple explanatory attributes independent classification model types evaluation using four real world data sets shows proposed method effectively existing methods addition extra power "
