,id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
792036,1611.06589,Rediet Abebe,"Rediet Abebe, Jon Kleinberg, David Parkes",Fair Division via Social Comparison,"18 pages, 3 figures, Proceedings of the 16th Conference on Autonomous
  Agents and Multi-Agent Systems (AAMAS, 2017)",,,,cs.DS cs.AI cs.GT math.CO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In the classical cake cutting problem, a resource must be divided among
agents with different utilities so that each agent believes they have received
a fair share of the resource relative to the other agents. We introduce a
variant of the problem in which we model an underlying social network on the
agents with a graph, and agents only evaluate their shares relative to their
neighbors' in the network. This formulation captures many situations in which
it is unrealistic to assume a global view, and also exposes interesting
phenomena in the original problem.
  Specifically, we say an allocation is locally envy-free if no agent envies a
neighbor's allocation and locally proportional if each agent values her own
allocation as much as the average value of her neighbor's allocations, with the
former implying the latter. While global envy-freeness implies local
envy-freeness, global proportionality does not imply local proportionality, or
vice versa. A general result is that for any two distinct graphs on the same
set of nodes and an allocation, there exists a set of valuation functions such
that the allocation is locally proportional on one but not the other.
  We fully characterize the set of graphs for which an oblivious single-cutter
protocol-- a protocol that uses a single agent to cut the cake into pieces
--admits a bounded protocol with $O(n^2)$ query complexity for locally
envy-free allocations in the Robertson-Webb model. We also consider the price
of envy-freeness, which compares the total utility of an optimal allocation to
the best utility of an allocation that is envy-free. We show that a lower bound
of $\Omega(\sqrt{n})$ on the price of envy-freeness for global allocations in
fact holds for local envy-freeness in any connected undirected graph. Thus,
sparse graphs surprisingly do not provide more flexibility with respect to the
quality of envy-free allocations.
","[{'version': 'v1', 'created': 'Sun, 20 Nov 2016 20:42:07 GMT'}, {'version': 'v2', 'created': 'Sun, 25 Feb 2018 19:16:36 GMT'}]",2018-02-27,"[['Abebe', 'Rediet', ''], ['Kleinberg', 'Jon', ''], ['Parkes', 'David', '']]"
822880,1702.0828600000002,Duncan McElfresh,Duncan C. McElfresh and John P. Dickerson,"Balancing Lexicographic Fairness and a Utilitarian Objective with
  Application to Kidney Exchange",,,,,cs.GT cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Balancing fairness and efficiency in resource allocation is a classical
economic and computational problem. The price of fairness measures the
worst-case loss of economic efficiency when using an inefficient but fair
allocation rule; for indivisible goods in many settings, this price is
unacceptably high. One such setting is kidney exchange, where needy patients
swap willing but incompatible kidney donors. In this work, we close an open
problem regarding the theoretical price of fairness in modern kidney exchanges.
We then propose a general hybrid fairness rule that balances a strict
lexicographic preference ordering over classes of agents, and a utilitarian
objective that maximizes economic efficiency. We develop a utility function for
this rule that favors disadvantaged groups lexicographically; but if cost to
overall efficiency becomes too high, it switches to a utilitarian objective.
This rule has only one parameter which is proportional to a bound on the price
of fairness, and can be adjusted by policymakers. We apply this rule to real
data from a large kidney exchange and show that our hybrid rule produces more
reliable outcomes than other fairness rules.
","[{'version': 'v1', 'created': 'Mon, 27 Feb 2017 13:54:44 GMT'}, {'version': 'v2', 'created': 'Thu, 7 Sep 2017 21:43:49 GMT'}]",2017-09-11,"[['McElfresh', 'Duncan C.', ''], ['Dickerson', 'John P.', '']]"
834049,1703.10545,Srijan Kumar,"Srijan Kumar, Bryan Hooi, Disha Makhija, Mohit Kumar, Christos
  Faloutsos, V.S. Subrahamanian",FairJudge: Trustworthy User Prediction in Rating Platforms,,,,,cs.SI cs.AI stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Rating platforms enable large-scale collection of user opinion about items
(products, other users, etc.). However, many untrustworthy users give
fraudulent ratings for excessive monetary gains. In the paper, we present
FairJudge, a system to identify such fraudulent users. We propose three
metrics: (i) the fairness of a user that quantifies how trustworthy the user is
in rating the products, (ii) the reliability of a rating that measures how
reliable the rating is, and (iii) the goodness of a product that measures the
quality of the product. Intuitively, a user is fair if it provides reliable
ratings that are close to the goodness of the product. We formulate a mutually
recursive definition of these metrics, and further address cold start problems
and incorporate behavioral properties of users and products in the formulation.
We propose an iterative algorithm, FairJudge, to predict the values of the
three metrics. We prove that FairJudge is guaranteed to converge in a bounded
number of iterations, with linear time complexity. By conducting five different
experiments on five rating platforms, we show that FairJudge significantly
outperforms nine existing algorithms in predicting fair and unfair users. We
reported the 100 most unfair users in the Flipkart network to their review
fraud investigators, and 80 users were correctly identified (80% accuracy). The
FairJudge algorithm is already being deployed at Flipkart.
","[{'version': 'v1', 'created': 'Thu, 30 Mar 2017 16:02:25 GMT'}]",2017-03-31,"[['Kumar', 'Srijan', ''], ['Hooi', 'Bryan', ''], ['Makhija', 'Disha', ''], ['Kumar', 'Mohit', ''], ['Faloutsos', 'Christos', ''], ['Subrahamanian', 'V. S.', '']]"
852345,1705.0880399999999,Sirui Yao,"Sirui Yao, Bert Huang",Beyond Parity: Fairness Objectives for Collaborative Filtering,,,,,cs.IR cs.AI cs.LG stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We study fairness in collaborative-filtering recommender systems, which are
sensitive to discrimination that exists in historical data. Biased data can
lead collaborative-filtering methods to make unfair predictions for users from
minority groups. We identify the insufficiency of existing fairness metrics and
propose four new metrics that address different forms of unfairness. These
fairness metrics can be optimized by adding fairness terms to the learning
objective. Experiments on synthetic and real data show that our new metrics can
better measure fairness than the baseline, and that the fairness objectives
effectively help reduce unfairness.
","[{'version': 'v1', 'created': 'Wed, 24 May 2017 14:52:06 GMT'}, {'version': 'v2', 'created': 'Thu, 30 Nov 2017 21:11:25 GMT'}]",2017-12-04,"[['Yao', 'Sirui', ''], ['Huang', 'Bert', '']]"
864573,1706.0983800000001,Sirui Yao,"Sirui Yao, Bert Huang",New Fairness Metrics for Recommendation that Embrace Differences,"Presented as a poster at the 2017 Workshop on Fairness,
  Accountability, and Transparency in Machine Learning (FAT/ML 2017)",,,,cs.CY cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We study fairness in collaborative-filtering recommender systems, which are
sensitive to discrimination that exists in historical data. Biased data can
lead collaborative filtering methods to make unfair predictions against
minority groups of users. We identify the insufficiency of existing fairness
metrics and propose four new metrics that address different forms of
unfairness. These fairness metrics can be optimized by adding fairness terms to
the learning objective. Experiments on synthetic and real data show that our
new metrics can better measure fairness than the baseline, and that the
fairness objectives effectively help reduce unfairness.
","[{'version': 'v1', 'created': 'Thu, 29 Jun 2017 16:32:12 GMT'}, {'version': 'v2', 'created': 'Wed, 13 Dec 2017 19:00:37 GMT'}]",2017-12-15,"[['Yao', 'Sirui', ''], ['Huang', 'Bert', '']]"
866227,1707.01195,Thomas Miconi,Thomas Miconi,"The impossibility of ""fairness"": a generalized impossibility result for
  decisions",,,,,stat.AP cs.AI stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Various measures can be used to estimate bias or unfairness in a predictor.
Previous work has already established that some of these measures are
incompatible with each other. Here we show that, when groups differ in
prevalence of the predicted event, several intuitive, reasonable measures of
fairness (probability of positive prediction given occurrence or
non-occurrence; probability of occurrence given prediction or non-prediction;
and ratio of predictions over occurrences for each group) are all mutually
exclusive: if one of them is equal among groups, the other two must differ. The
only exceptions are for perfect, or trivial (always-positive or
always-negative) predictors. As a consequence, any non-perfect, non-trivial
predictor must necessarily be ""unfair"" under two out of three reasonable sets
of criteria. This result readily generalizes to a wide range of well-known
statistical quantities (sensitivity, specificity, false positive rate,
precision, etc.), all of which can be divided into three mutually exclusive
groups. Importantly, The results applies to all predictors, whether algorithmic
or human. We conclude with possible ways to handle this effect when assessing
and designing prediction methods.
","[{'version': 'v1', 'created': 'Wed, 5 Jul 2017 02:02:42 GMT'}, {'version': 'v2', 'created': 'Tue, 1 Aug 2017 16:31:06 GMT'}, {'version': 'v3', 'created': 'Mon, 11 Sep 2017 21:18:54 GMT'}]",2017-09-13,"[['Miconi', 'Thomas', '']]"
867065,1707.02033,Xiaohui Bei,"Xiaohui Bei, Youming Qiao, Shengyu Zhang",Networked Fairness in Cake Cutting,A preliminary version of this paper appears at IJCAI 2017,,,,cs.DS cs.AI cs.GT,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We introduce a graphical framework for fair division in cake cutting, where
comparisons between agents are limited by an underlying network structure. We
generalize the classical fairness notions of envy-freeness and proportionality
to this graphical setting. Given a simple undirected graph G, an allocation is
envy-free on G if no agent envies any of her neighbor's share, and is
proportional on G if every agent values her own share no less than the average
among her neighbors, with respect to her own measure. These generalizations
open new research directions in developing simple and efficient algorithms that
can produce fair allocations under specific graph structures.
  On the algorithmic frontier, we first propose a moving-knife algorithm that
outputs an envy-free allocation on trees. The algorithm is significantly
simpler than the discrete and bounded envy-free algorithm recently designed by
Aziz and Mackenzie for complete graphs. Next, we give a discrete and bounded
algorithm for computing a proportional allocation on descendant graphs, a class
of graphs by taking a rooted tree and connecting all its ancestor-descendant
pairs.
","[{'version': 'v1', 'created': 'Fri, 7 Jul 2017 04:31:33 GMT'}]",2017-07-10,"[['Bei', 'Xiaohui', ''], ['Qiao', 'Youming', ''], ['Zhang', 'Shengyu', '']]"
875766,1708.0075399999998,Indre Zliobaite,Indre Zliobaite,Fairness-aware machine learning: a perspective,,,,,cs.AI cs.CY cs.LG stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Algorithms learned from data are increasingly used for deciding many aspects
in our life: from movies we see, to prices we pay, or medicine we get. Yet
there is growing evidence that decision making by inappropriately trained
algorithms may unintentionally discriminate people. For example, in automated
matching of candidate CVs with job descriptions, algorithms may capture and
propagate ethnicity related biases. Several repairs for selected algorithms
have already been proposed, but the underlying mechanisms how such
discrimination happens from the computational perspective are not yet
scientifically understood. We need to develop theoretical understanding how
algorithms may become discriminatory, and establish fundamental machine
learning principles for prevention. We need to analyze machine learning process
as a whole to systematically explain the roots of discrimination occurrence,
which will allow to devise global machine learning optimization criteria for
guaranteed prevention, as opposed to pushing empirical constraints into
existing algorithms case-by-case. As a result, the state-of-the-art will
advance from heuristic repairing, to proactive and theoretically supported
prevention. This is needed not only because law requires to protect vulnerable
people. Penetration of big data initiatives will only increase, and computer
science needs to provide solid explanations and accountability to the public,
before public concerns lead to unnecessarily restrictive regulations against
machine learning.
","[{'version': 'v1', 'created': 'Wed, 2 Aug 2017 14:14:49 GMT'}]",2017-08-03,"[['Zliobaite', 'Indre', '']]"
888087,1709.03221,Yuriy Brun,"Sainyam Galhotra, Yuriy Brun, Alexandra Meliou",Fairness Testing: Testing Software for Discrimination,"Sainyam Galhotra, Yuriy Brun, and Alexandra Meliou. 2017. Fairness
  Testing: Testing Software for Discrimination. In Proceedings of 2017 11th
  Joint Meeting of the European Software Engineering Conference and the ACM
  SIGSOFT Symposium on the Foundations of Software Engineering (ESEC/FSE),
  Paderborn, Germany, September 4-8, 2017 (ESEC/FSE'17).
  https://doi.org/10.1145/3106237.3106277, ESEC/FSE, 2017",,10.1145/3106237.3106277,,cs.SE cs.AI cs.CY cs.DB cs.LG,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  This paper defines software fairness and discrimination and develops a
testing-based method for measuring if and how much software discriminates,
focusing on causality in discriminatory behavior. Evidence of software
discrimination has been found in modern software systems that recommend
criminal sentences, grant access to financial products, and determine who is
allowed to participate in promotions. Our approach, Themis, generates efficient
test suites to measure discrimination. Given a schema describing valid system
inputs, Themis generates discrimination tests automatically and does not
require an oracle. We evaluate Themis on 20 software systems, 12 of which come
from prior work with explicit focus on avoiding discrimination. We find that
(1) Themis is effective at discovering software discrimination, (2)
state-of-the-art techniques for removing discrimination from algorithms fail in
many situations, at times discriminating against as much as 98% of an input
subdomain, (3) Themis optimizations are effective at producing efficient test
suites for measuring discrimination, and (4) Themis is more efficient on
systems that exhibit more discrimination. We thus demonstrate that fairness
testing is a critical aspect of the software development cycle in domains with
possible discrimination and provide initial tools for measuring software
discrimination.
","[{'version': 'v1', 'created': 'Mon, 11 Sep 2017 02:45:22 GMT'}]",2017-09-12,"[['Galhotra', 'Sainyam', ''], ['Brun', 'Yuriy', ''], ['Meliou', 'Alexandra', '']]"
898567,1710.0318399999999,Pratik Gajane,Pratik Gajane and Mykola Pechenizkiy,On Formalizing Fairness in Prediction with Machine Learning,,,,,cs.LG cs.AI stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Machine learning algorithms for prediction are increasingly being used in
critical decisions affecting human lives. Various fairness formalizations, with
no firm consensus yet, are employed to prevent such algorithms from
systematically discriminating against people based on certain attributes
protected by law. The aim of this article is to survey how fairness is
formalized in the machine learning literature for the task of prediction and
present these formalizations with their corresponding notions of distributive
justice from the social sciences literature. We provide theoretical as well as
empirical critiques of these notions from the social sciences literature and
explain how these critiques limit the suitability of the corresponding fairness
formalizations to certain domains. We also suggest two notions of distributive
justice which address some of these critiques and discuss avenues for
prospective fairness formalizations.
","[{'version': 'v1', 'created': 'Mon, 9 Oct 2017 16:39:31 GMT'}, {'version': 'v2', 'created': 'Fri, 25 May 2018 10:12:23 GMT'}, {'version': 'v3', 'created': 'Mon, 28 May 2018 08:22:01 GMT'}]",2018-05-29,"[['Gajane', 'Pratik', ''], ['Pechenizkiy', 'Mykola', '']]"
900307,1710.0492399999998,Junpei Komiyama,Junpei Komiyama and Hajime Shimao,Two-stage Algorithm for Fairness-aware Machine Learning,,,,,stat.ML cs.AI cs.LG,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Algorithmic decision making process now affects many aspects of our lives.
Standard tools for machine learning, such as classification and regression, are
subject to the bias in data, and thus direct application of such off-the-shelf
tools could lead to a specific group being unfairly discriminated. Removing
sensitive attributes of data does not solve this problem because a
\textit{disparate impact} can arise when non-sensitive attributes and sensitive
attributes are correlated. Here, we study a fair machine learning algorithm
that avoids such a disparate impact when making a decision. Inspired by the
two-stage least squares method that is widely used in the field of economics,
we propose a two-stage algorithm that removes bias in the training data. The
proposed algorithm is conceptually simple. Unlike most of existing fair
algorithms that are designed for classification tasks, the proposed method is
able to (i) deal with regression tasks, (ii) combine explanatory attributes to
remove reverse discrimination, and (iii) deal with numerical sensitive
attributes. The performance and fairness of the proposed algorithm are
evaluated in simulations with synthetic and real-world datasets.
","[{'version': 'v1', 'created': 'Fri, 13 Oct 2017 13:58:42 GMT'}]",2017-10-16,"[['Komiyama', 'Junpei', ''], ['Shimao', 'Hajime', '']]"
905440,1710.1005699999998,Huang Lingxiao,"L. Elisa Celis, Lingxiao Huang, Nisheeth K. Vishnoi",Multiwinner Voting with Fairness Constraints,The conference version of this paper appears in IJCAI-ECAI 2018,,,,cs.CY cs.AI cs.DS,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Multiwinner voting rules are used to select a small representative subset of
candidates or items from a larger set given the preferences of voters. However,
if candidates have sensitive attributes such as gender or ethnicity (when
selecting a committee), or specified types such as political leaning (when
selecting a subset of news items), an algorithm that chooses a subset by
optimizing a multiwinner voting rule may be unbalanced in its selection -- it
may under or over represent a particular gender or political orientation in the
examples above. We introduce an algorithmic framework for multiwinner voting
problems when there is an additional requirement that the selected subset
should be ""fair"" with respect to a given set of attributes. Our framework
provides the flexibility to (1) specify fairness with respect to multiple,
non-disjoint attributes (e.g., ethnicity and gender) and (2) specify a score
function. We study the computational complexity of this constrained multiwinner
voting problem for monotone and submodular score functions and present several
approximation algorithms and matching hardness of approximation results for
various attribute group structure and types of score functions. We also present
simulations that suggest that adding fairness constraints may not affect the
scores significantly when compared to the unconstrained case.
","[{'version': 'v1', 'created': 'Fri, 27 Oct 2017 10:13:31 GMT'}, {'version': 'v2', 'created': 'Mon, 18 Jun 2018 19:19:15 GMT'}]",2018-06-20,"[['Celis', 'L. Elisa', ''], ['Huang', 'Lingxiao', ''], ['Vishnoi', 'Nisheeth K.', '']]"
